City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,CityDate,Temp (C)
268,Markova,48.68,24.41,286.12,86,96,1.91,UA,1594851592,12.970000000000027
269,Cartagena,10.4,-75.51,305.15,70,20,3.6,CO,1594851568,32.0
270,Novikovo,51.15,37.89,285.47,75,92,5.31,RU,1594851592,12.32000000000005
271,Machinga,-15.17,35.3,286.57,77,7,1.62,MW,1594851592,13.420000000000016
272,Oudtshoorn,-33.59,22.2,279.15,70,0,1.5,ZA,1594851592,6.0
273,Tynda,55.17,124.72,293.2,80,3,0.29,RU,1594851593,20.05000000000001
274,Bundaberg,-24.85,152.35,285.15,58,0,4.6,AU,1594851593,12.0
275,Udachny,66.42,112.4,291.15,63,90,3.0,RU,1594851593,18.0
276,Sicamous,50.83,-118.99,300.37,49,56,1.34,CA,1594851320,27.220000000000027
277,Vanavara,60.34,102.28,284.39,73,51,4.13,RU,1594851593,11.240000000000009
278,Abhā,18.22,42.51,298.15,35,20,1.69,SA,1594851593,25.0
279,Lüderitz,-26.65,15.16,295.15,18,0,7.7,NA,1594851593,22.0
280,Malindi,-3.22,40.12,298.19,76,22,8.44,KE,1594851593,25.04000000000002
281,General Pico,-35.66,-63.76,282.88,62,0,2.99,AR,1594851593,9.730000000000018
282,Kindu,-2.95,25.95,295.47,84,3,0.9,CD,1594851363,22.32000000000005
283,General Roca,-39.03,-67.58,283.15,66,93,0.9,AR,1594851594,10.0
284,São Félix do Xingu,-6.64,-51.99,300.8,45,26,1.1,BR,1594851594,27.650000000000034
285,Port Blair,11.67,92.75,300.41,82,92,4.45,IN,1594851594,27.260000000000048
286,Seminole,28.71,-81.21,298.15,88,90,11.3,US,1594851594,25.0
287,Khani,41.96,42.96,296.15,88,75,1.0,GE,1594851594,23.0
288,Tezu,27.92,96.17,297.4,85,100,1.13,IN,1594851594,24.25
289,Šahy,48.07,18.95,293.15,69,28,0.88,SK,1594851594,20.0
290,Tigil',57.8,158.67,286.58,90,100,2.95,RU,1594851595,13.430000000000007
291,Colón,9.36,-79.9,304.26,70,20,6.2,PA,1594851595,31.110000000000014
292,Negombo,7.21,79.84,301.15,88,40,3.1,LK,1594851595,28.0
